Department,Full_Profs_M,Full_Profs_F,# Assoc M,# Assoc F,# Asst M,# Asst F,# Lec/Precep/Adj M,# Lec/Precep/Adj F,# Prof of Practice M,# Prof of Practice F,,URL,Notes,Division,,# Full Profs,% Full Profs F,,# Non-Tenured,# Non-Tenured M,# Non-Tenured F,% Non-Tenured F,,# All Faculty,# Faculty M,# Faculty F,,% Faculty F,% Full Prof F,,,,,,
"Theater, Dance & Media",0,2,0,0,1,0,0,0,0,1,,https://tdm.fas.harvard.edu/people/people/standing-committee?page=1,,Arts & Humanities,,2,100%,,2,1,1,50%,,4,1,3,,75%,100%,,,,,,
"Women, Gender, & Sexuality",1,5,0,0,0,1,1,9,1,0,,https://wgs.fas.harvard.edu/people/people-terms/faculty?page=1,,Social Sciences,,6,83%,,12,2,10,83%,,18,3,15,,83%,83%,,,,,,
History of Science,5,8,2,1,3,1,,,,,,https://histsci.fas.harvard.edu/people/faculty,,Social Sciences,,13,62%,,7,5,2,29%,,20,10,10,,50%,62%,,,,,,
Romance Langs & Lits,6,9,1,1,1,2,2,11,0,0,,https://rll.fas.harvard.edu/people/faculty,,Arts & Humanities,,15,60%,,18,4,14,78%,,33,10,23,,70%,60%,,,,,,
Music,6,8,0,0,1,0,5,4,0,2,,http://music.fas.harvard.edu/people.shtml#,,Arts & Humanities,,14,57%,,12,6,6,50%,,26,12,14,,54%,57%,,,,,,
African & African American Studies,19,15,1,0,1,0,0,0,1,0,,https://aaas.fas.harvard.edu/people/taxonomy/term/13051?page=2,,Social Sciences,,34,44%,,3,3,0,0%,,37,22,15,,41%,44%,,,,,,
History,23,18,0,1,0,0,,,,,,https://history.fas.harvard.edu/faculty_alpha?page=3,,Social Sciences,,41,44%,,1,0,1,100%,,42,23,19,,45%,44%,,,,,,
History of Art and Architecture,11,7,0,1,1,1,0,1,0,0,,https://haa.fas.harvard.edu/people/taxonomy/term/9391,,Arts & Humanities,,18,39%,,4,1,3,75%,,22,12,10,,45%,39%,,,,,,
Psychology,11,7,1,2,4,2,1,0,0,0,,https://psychology.fas.harvard.edu/faculty,,Social Sciences,,18,39%,,10,6,4,40%,,28,17,11,,39%,39%,,,,,,
Sociology,11,7,2,0,0,1,0,0,0,0,,https://sociology.fas.harvard.edu/people/sociology-faculty,,Social Sciences,,18,39%,,3,2,1,33%,,21,13,8,,38%,39%,,,,,,
East Asian Langs & Civs,13,8,1,0,1,2,4,10,0,0,,https://ealc.fas.harvard.edu/people/faculty,,Arts & Humanities,,21,38%,,18,6,12,67%,,39,19,20,,51%,38%,,,,,,
English,20,11,3,2,1,3,4,3,2,1,,https://english.fas.harvard.edu/people/faculty/,,Arts & Humanities,,31,35%,,19,10,9,47%,,50,30,20,,40%,35%,,,,,,
Religion,33,17,2,1,1,2,3,2,0,0,,https://studyofreligion.fas.harvard.edu/people/profile-type/faculty,,Arts & Humanities,,50,34%,,11,6,5,45%,,61,39,22,,36%,34%,,,,,,
Celtic Langs & Lits,2,1,0,0,0,1,0,0,0,0,,http://www.celtic.fas.harvard.edu/people.shtml,,Arts & Humanities,,3,33%,,1,0,1,100%,,4,2,2,,50%,33%,,,,,,
Human Evolutionary Biology,4,2,1,0,0,1,0,0,0,0,,https://heb.fas.harvard.edu/people/people/faculty,,Science,,6,33%,,2,1,1,50%,,8,5,3,,38%,33%,,,,,,
Slavic Langs & Lits,4,2,0,0,0,2,2,7,0,0,,https://slavic.fas.harvard.edu/people/taxonomy/term/10526,,Arts & Humanities,,6,33%,,11,2,9,82%,,17,6,11,,65%,33%,,,,,,
