"Arts & Humanities-Theater, Dance & Media",3,4
"Social Sciences-Women, Gender, & Sexuality",15,18
Social Sciences-History of Science,10,20
Arts & Humanities-Romance Langs & Lits,23,33
Arts & Humanities-Music,14,26
Social Sciences-African & African American Studies,15,37
Social Sciences-History,19,42
Arts & Humanities-History of Art and Architecture,10,22
Social Sciences-Psychology,11,28
Social Sciences-Sociology,8,21
Arts & Humanities-East Asian Langs & Civs,20,39
Arts & Humanities-English,20,50
Arts & Humanities-Religion,22,61
Arts & Humanities-Celtic Langs & Lits,2,4
Science-Human Evolutionary Biology,3,8
Arts & Humanities-Slavic Langs & Lits,11,17
Science-Statistics,3,16
Arts & Humanities-Visual & Environmental Studies,8,19
SEAS-Materials Science & Mech Eng,4,16
Arts & Humanities-Folklore & Mythology,15,42
SEAS-Computer Science,8,36
Arts & Humanities-Philosophy,6,23
Arts & Humanities-Germanic Langs & Lits,8,21
Arts & Humanities-Comparative Literature,9,28
Social Sciences-Government,7,37
Science-Molecular & Cellular Biology,8,39
Science-Organismic & Evolutionary Biology,12,43
Social Sciences-Anthropology,8,29
Arts & Humanities-South Asian Studies,3,17
Arts & Humanities-The Classics,6,21
Science-Stem Cell & Regenerative Biology,3,18
SEAS-Applied Math,4,23
SEAS-Electrical Eng,3,11
Social Sciences-Social Studies,8,21
Science-Physics,14,76
Science-Chemistry & Chemical Biology,6,35
Science-Earth & Planetary Sciences,5,29
Science-Astronomy,3,20
SEAS-Biomedical Engineering,2,21
Arts & Humanities-Near Eastern Langs & Civs,9,31
Social Sciences-Economics,8,54
SEAS-Environmental Science & Eng,1,16
Arts & Humanities-Linguistics,2,8
Science-Math,1,20
